x,y,z,xc,yc
-1.820731,1.467954,4.224124,0.398964,0.432655
-0.563221,2.307693,5.566789,0.47641,0.405806
-6.338145,-0.529279,1.881175,0.189241,0.523924
-5.587698,3.208071,2.687839,0.228962,0.348951
-0.242624,-1.462857,7.071491,0.490726,0.562401
-1.611251,0.339326,4.895421,0.40467,0.485133
-7.743095,2.364999,-2.005167,0.019469,0.401564
-1.391142,1.851048,4.448999,0.426243,0.420431
-1.785794,-0.978284,4.85047,0.396993,0.548797
-4.670959,2.664461,3.084075,0.26647,0.376977
-1.33397,-0.283761,6.097047,0.439121,0.518958
-7.270895,-2.890917,-2.252455,0.032314,0.644357
-1.856432,2.585245,3.757904,0.419054,0.387155
-0.923388,0.073076,6.671944,0.462783,0.505747
-5.000589,-6.135128,1.892523,0.238979,0.779745
-5.085276,-7.17859,0.714711,0.198221,0.831938
-7.159291,-0.81182,-0.072044,0.10755,0.540755
-5.843051,-5.248023,0.924091,0.18361,0.740257
-6.847258,3.662916,0.724695,0.13441,0.333683
-2.412942,-8.258853,4.119213,0.385764,0.883154
-0.179909,-1.689864,6.573301,0.490967,0.579378
-2.103655,-0.163946,4.566119,0.382385,0.508573
-6.407571,2.236021,1.560843,0.174399,0.397671
-3.670075,2.360153,3.63523,0.318785,0.396235
-3.177186,2.294265,3.775704,0.343364,0.400597
-2.196121,-4.598322,4.479786,0.3961,0.710217
-6.234883,-1.94443,1.663542,0.187885,0.588538
-1.292924,-9.29592,4.094063,0.430987,0.944065
-3.210651,-8.533278,2.802001,0.318993,0.898285
-4.068926,-7.993109,1.925119,0.266248,0.869701
0.0,6.54539,5.027311,0.500023,0.190576
0.0,-9.403378,4.264492,0.499977,0.954453
-2.724032,2.315802,3.777151,0.36617,0.398822
-2.28846,2.398891,3.697603,0.393207,0.395537
-1.998311,2.496547,3.689148,0.410373,0.39108
-6.13004,3.399261,2.038516,0.194993,0.342102
-2.28846,2.886504,3.775031,0.388665,0.362284
-2.724032,2.96181,3.871767,0.365962,0.355971
-3.177186,2.964136,3.876973,0.343364,0.355357
-3.670075,2.927714,3.724325,0.318785,0.35834
-4.018389,2.857357,3.482983,0.301415,0.363156
-7.555811,4.106811,-0.991917,0.058133,0.319076
-4.018389,2.483695,3.440898,0.301415,0.387449
0.0,-2.521945,5.932265,0.499988,0.618434
-1.776217,-2.683946,5.213116,0.415838,0.624196
-1.222237,-1.182444,5.952465,0.445682,0.566077
-0.731493,-2.536683,5.815343,0.465844,0.620641
0.0,3.271027,5.236015,0.499923,0.351524
-4.135272,-6.996638,2.67197,0.288719,0.819946
-3.311811,-7.660815,3.382963,0.335279,0.85282
-1.313701,-8.639995,4.702456,0.440512,0.902419
-5.940524,-6.223629,-0.631468,0.128294,0.791941
-1.998311,2.743838,3.74403,0.408772,0.373894
-0.901447,1.236992,5.754256,0.455607,0.451801
0.0,-8.765243,4.891441,0.499877,0.90899
-2.308977,-8.974196,3.60907,0.375437,0.924192
-6.954154,-2.439843,-0.131163,0.11421,0.615022
-1.098819,-4.458788,5.120727,0.448662,0.695278
-1.181124,-4.579996,5.189564,0.44802,0.704632
-1.255818,-4.787901,5.237051,0.447112,0.715808
-1.325085,-5.106507,5.20501,0.444832,0.730794
-1.546388,-5.819392,4.757893,0.430012,0.766809
-1.953754,-4.183892,4.431713,0.406787,0.685673
-2.117802,-4.137093,4.555096,0.400738,0.681069
-2.285339,-4.051196,4.582438,0.3924,0.677703
-2.85016,-3.66572,4.484994,0.367856,0.663919
-5.278538,-2.238942,2.861224,0.247923,0.601333
-0.946709,1.907628,5.196779,0.45277,0.42085
-1.314173,3.104912,4.231404,0.436392,0.359887
-1.78,2.86,3.881555,0.416164,0.368714
-1.84511,-4.09888,4.247264,0.413386,0.692366
-5.436187,-4.030482,2.109852,0.228018,0.683572
-0.766444,3.182131,4.861453,0.468268,0.352671
-1.938616,-6.61441,4.521085,0.411362,0.804327
0.0,1.059413,6.774605,0.499989,0.469825
-0.516573,1.583572,6.148363,0.479154,0.442654
0.0,1.728369,6.31675,0.499974,0.439637
-1.246815,0.230297,5.681036,0.432112,0.493589
0.0,-7.942194,5.181173,0.499886,0.866917
0.0,-6.991499,5.153478,0.499913,0.821729
-0.997827,-6.930921,4.979576,0.456549,0.819201
-3.288807,-5.382514,3.795752,0.344549,0.745439
-2.311631,-1.566237,4.590085,0.378909,0.57401
-2.68025,-6.111567,4.096152,0.374293,0.780185
-3.832928,-1.537326,4.137731,0.319688,0.570738
-2.96186,-2.274215,4.440943,0.357155,0.60427
-4.386901,-2.683286,3.643886,0.295284,0.621581
-1.217295,-7.834465,4.969286,0.44775,0.862477
-1.542374,-0.136843,5.201008,0.410986,0.508723
-3.878377,-6.041764,3.311079,0.313951,0.775308
-3.084037,-6.809842,3.814195,0.354128,0.812553
-3.747321,-4.503545,3.726453,0.324548,0.703993
-6.094129,-3.205991,1.473482,0.189096,0.6463
-4.588995,-4.728726,2.983221,0.279777,0.714658
-6.583231,-3.941269,0.070268,0.133823,0.682701
-3.49258,-3.19582,4.130198,0.336768,0.644733
-1.255543,0.802341,5.307551,0.429884,0.466522
-1.126122,-0.933602,6.538785,0.455528,0.548623
-1.443109,-1.142774,5.905127,0.437114,0.558896
-0.923043,-0.529042,7.003423,0.467288,0.529925
-1.755386,3.529117,4.327696,0.414712,0.33522
-2.632589,3.713828,4.364629,0.377046,0.322778
-3.388062,3.721976,4.309028,0.344108,0.320151
-4.075766,3.675413,4.076063,0.312876,0.322332
-4.62291,3.474691,3.646321,0.283526,0.33319
-5.171755,2.535753,2.670867,0.241246,0.382786
-7.297331,0.763172,-0.048769,0.102986,0.468763
-4.706828,1.651,3.109532,0.267612,0.42456
-4.071712,1.476821,3.476944,0.297879,0.433176
-3.269817,1.470659,3.731945,0.333434,0.433878
-2.527572,1.617311,3.865444,0.366427,0.426116
-1.970894,1.858505,3.961782,0.396012,0.416696
-1.579543,2.097941,4.084996,0.420121,0.410228
-7.664182,0.673132,-2.435867,0.007561,0.480777
-1.397041,-1.340139,5.630378,0.432949,0.569518
-0.884838,0.65874,6.233232,0.458639,0.479089
-0.767097,-0.968035,7.077932,0.473466,0.545744
-0.460213,-1.334106,6.787447,0.476088,0.56383
-0.748618,-1.067994,6.798303,0.468472,0.555057
-1.236408,-1.585568,5.48049,0.433991,0.582362
-0.387306,-1.40999,6.957705,0.483518,0.562984
-0.319925,-1.607931,6.508676,0.482483,0.577849
-1.639633,2.556298,3.863736,0.42645,0.389799
-1.255645,2.467144,4.2038,0.438999,0.396495
-1.031362,2.382663,4.615849,0.450067,0.400434
-4.253081,2.772296,3.315305,0.289712,0.368253
-4.53,2.91,3.339685,0.27667,0.363373
